Address,Street,House_Nr,Post_Code,City
I live in  1 in 38272 Dolní Dvořiště,,1,38272,Dolní Dvořiště
I'm so excited! I got the flat in Hauptstraße 34 24806 Hohn.,Hauptstraße,34,24806,Hohn
I live in Schönseer Straße 47 in 92526 Oberviechtach,Schönseer Straße,47,92526,Oberviechtach
I recently moved to Brandscheid into the Mühlenweg. ,Mühlenweg,,,Brandscheid
"1156, København K, 23, Gråbrødrestræde",Gråbrødrestræde,23,1156,København K
Please find me at Virchowstraße 2 in the center of ,Virchowstraße,2,,
"Living in Alte Poststraße 2, 54492 Zeltingen-Rachtig.",Alte Poststraße,2,54492,Zeltingen-Rachtig
I am currently residing in 56370 .,,,56370,
"Living in Baičių 3-oji g 1, 95499 Lyveriai.",Baičių 3-oji g,1,95499,Lyveriai
I am currently residing in 44534 Lünen.,,,44534,Lünen
"I recently moved to the inner city of Nürnberg, but I cannot remember the exact address just yet.",,,,Nürnberg
I am registered at Eisenacher Haus 1 98634 Erbenhausen.,Eisenacher Haus,1,98634,Erbenhausen
", 8459,   ",,,8459,
I recently moved to Heilbad Heiligenstadt into the Dingelstädter Straße. ,Dingelstädter Straße,,,Heilbad Heiligenstadt
I reside at Cottbuser Straße  Lieberose.,Cottbuser Straße,,,Lieberose
I recently moved to Marktbergel into the Ansbacher Straße. ,Ansbacher Straße,,,Marktbergel
"Work inquiries go to Ernst-Thälmann-Platz 4, 19249 Lübtheen",Ernst-Thälmann-Platz,4,19249,Lübtheen
"Living in Freiburger Straße 32, 77749 Hohberg.",Freiburger Straße,32,77749,Hohberg
I reside at Hauptstraße 14 Schinkel.,Hauptstraße,14,,Schinkel
I live in Rabahnweg 1 in 19089 Crivitz,Rabahnweg,1,19089,Crivitz
"My address is Mühlenweg 4, 27333 Schweringen",Mühlenweg,4,27333,Schweringen
"Please send the package to  , 8428 ",,,8428,
"It's Black Avenue 4466, 94566 .",Black Avenue,4466,94566,
"My main address is Berliner Allee 14, 16833 Fehrbellin.",Berliner Allee,14,16833,Fehrbellin
"I am living in 160 Koblenzer Straße, 56727 Mayen.",Koblenzer Straße,160,56727,Mayen
