Text,FIRSTNAME,MIDDLENAME,LASTNAME
Hi! Du kannst mich FIRSTNAME MIDDLENAME LASTNAME nennen.,FIRSTNAME,MIDDLENAME,LASTNAME
Mein tatsächlicher Name ist FIRSTNAME.,FIRSTNAME,,
Oh ich heiße eigentlich FIRSTNAME MIDDLENAME.,FIRSTNAME,MIDDLENAME,
Mein Name? Bitte schreiben Sie FIRSTNAME MIDDLENAME LASTNAME auf,FIRSTNAME,MIDDLENAME,LASTNAME
"Ich freue mich auch, dich kennenzulernen. Du kannst mich FIRSTNAME nennen.",FIRSTNAME,,
Ich bin Frau LASTNAME,,,LASTNAME
Ich bin Herr LASTNAME,,,LASTNAME
Ist Post für LASTNAME angekommen?,,,LASTNAME
Du kannst die Daten direkt an FIRSTNAME LASTNAME schicken.,FIRSTNAME,,LASTNAME
"Ich habe einen Zweitnamen; er lautet MIDDLENAME",,MIDDLENAME,
Geh einfach zum Büro mit dem Namensschild LASTNAME,,,LASTNAME
Wo wohnt FIRSTNAME LASTNAME?,FIRSTNAME,,LASTNAME
Was ist der Vorname von Frau LASTNAME?,,,LASTNAME
Mit welchem Namen spreche ich Herr FIRSTNAME an?,FIRSTNAME,,
"Ich bin mir unsicher, wann FIRSTNAME LASTNAME Geburtstag hat?",FIRSTNAME,,LASTNAME
"Glaubst du, FIRSTNAME wird kommen?",FIRSTNAME,,
Ist Herr LASTNAME wieder zu spät?,,,LASTNAME
Ich glaube Frau LASTNAME ist heute nicht im Büro. Ich habe eine Urlaubsbuchung für FIRSTNAME MIDDLENAME LASTNAME gesehen,FIRSTNAME,MIDDLENAME,LASTNAME
Mein neuer Projektpartner ist FIRSTNAME. Ich freue mich schon auf die Zusammenarbeit.,FIRSTNAME,,
"Ich kann nicht glauben, dass LASTNAME mir den Job gegeben hat!",,,LASTNAME
Mein Zweitname ist MIDDLENAME. Er ist von meinen Großeltern.,,MIDDLENAME,
"Dein Zweitname ist MIDDLENAME? Ich kann nicht glauben, dass ich das nicht wusste!",,MIDDLENAME,
"Hi, mein Name ist FIRSTNAME MIDDLENAME LASTNAME.",FIRSTNAME,MIDDLENAME,LASTNAME
Schön dich kennenzulernen. Ich bin FIRSTNAME.,FIRSTNAME,,
Bitte sende alle Geschäftsanfragen an FIRSTNAME MIDDLENAME LASTNAME,FIRSTNAME,MIDDLENAME,LASTNAME
Ich nehme den Namen meines Ehepartners. Bald bin ich Herr LASTNAME,,,LASTNAME
Mein Namensschild lautet FIRSTNAME LASTNAME.,FIRSTNAME,,LASTNAME
Bitte nenn mich FIRSTNAME MIDDLENAME LASTNAME,FIRSTNAME,MIDDLENAME,LASTNAME
Man spricht mich als FIRSTNAME MIDDLENAME LASTNAME an.,FIRSTNAME,MIDDLENAME,LASTNAME
Leute nennen mich FIRSTNAME MIDDLENAMELASTNAME,FIRSTNAME,MIDDLENAME,LASTNAME
